region,lat,lon,node_id
APS,33.44932618311359,-112.36298990371422,CW_LNODE22A
APS,33.44941096751219,-112.36302504294893,CW_LNODER9A
APS,33.583507,-111.88516666,CX_LNODE17A
APS,33.58350699995322,-111.88505818767902,CX_LNODE18A
APS,33.583417183610536,-111.88505818779124,CX_LNODE21A
APS,33.5833536739083,-111.8851344225584,CX_LNODE22A
APS,33.5833384857686,-111.88524068202477,CX_LNODE25A
APS,33.58336959379686,-111.8853418211011,CX_LNODE26A
APS,33.583435098550744,-111.88541558339206,CX_LNODE30A
APS,33.58351998277877,-111.88545081858274,CX_LNODE34A
APS,33.58360966498247,-111.88544492850177,CX_LNODE36A
APS,33.583691820139684,-111.88540135825896,CX_LNODE38A
CA,35.31,-119.6366,CYMRIC_1_N001
CA,35.304875,-119.61428166,CYMRIC_1_N004
APS,32.705277,-114.66604166,CY_LNODE10A
APS,32.70527699995498,-114.66593451834025,CY_LNODE12A
APS,32.70519940396864,-114.66598775921643,CY_LNODE13A
APS,32.70519940396864,-114.66609424078356,CY_LNODE14A
APS,32.70527699995498,-114.66614748165976,CY_LNODER1A
APS,32.705354596008824,-114.66609424087619,CY_LNODER2A
APS,32.705354596008824,-114.66598775912382,CY_LNODER5A
NWMT,45.203553,-110.89743266,DAILY_R_LNODEOAD
CA,37.055221,-120.31701566,DAIRYLND_1_N001
IPCO,42.740057,-114.77614266,DALE_LNODE132
AVA,47.74399999998058,-116.78533298296804,DALTON_1_13_1LNODE
AVA,47.74399999998058,-116.78546701703196,DALTON_1_13_2LNODE
CA,37.69180126214444,-122.45570466,DALYCTY_1_N001
CA,37.69171986891291,-122.45564461457239,DALYCTY_1_N005
BPAT,44.074020819982735,-123.17719326564541,DANEBO_LNODE2KV
BPAT,44.074020819982735,-123.17731913435459,DANEBO_LNODEKV2
CA,36.71900181109094,-119.76576504300834,DANISHCM_1_N001
NWMT,46.01577499998184,-114.1707704097578,DARBY_LNODEMPC
